"species","matched_names","synonym_names","final_names"
"Achillea millefolium L.","Achillea millefolium","Achillea millefolium","Achillea millefolium"
"Achillea ptarmica","Achillea ptarmica","Achillea ptarmica","Achillea ptarmica"
"Adoxa moschatellina L.","Adoxa moschatellina","Adoxa moschatellina","Adoxa moschatellina"
"Aegopodium podagraria L.","Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria"
"Aethusa cynapium L.","Aethusa cynapium","Aethusa cynapium","Aethusa cynapium"
"Alisma plantago-aquatica L.","Alisma plantago-aquatica","Alisma plantago-aquatica","Alisma plantago-aquatica"
"Allium oleraceum L.","Allium oleraceum","Allium oleraceum","Allium oleraceum"
"Angelica sylvestris L.","Angelica sylvestris","Angelica sylvestris","Angelica sylvestris"
"Antennaria  dioica","Antennaria dioica","Antennaria dioica","Antennaria dioica"
"Anthemis arvensis L.","Anthemis arvensis","Anthemis arvensis","Anthemis arvensis"
"Anthemis cotula L.","Anthemis cotula","Anthemis cotula","Anthemis cotula"
"Anthemis tinctoria L.","Anthemis tinctoria","Anthemis tinctoria",NA
"Anthriscus sylvestris L.","Anthriscus sylvestris","Anthriscus sylvestris","Anthriscus sylvestris"
"Arctium lappa L.","Arctium lappa","Arctium lappa","Arctium lappa"
"Arctium tomentosum","Arctium tomentosum","Arctium tomentosum","Arctium tomentosum"
"Artemisia absinthium L.","Artemisia absinthium","Artemisia absinthium","Artemisia absinthium"
"Artemisia campestris L.","Artemisia campestris","Artemisia campestris","Artemisia campestris"
"Artemisia vulgaris L.","Artemisia vulgaris","Artemisia vulgaris","Artemisia vulgaris"
"Aster sibiricus","Aster sibiricus","Aster sibiricus",NA
"Atriplex patula L.","Atriplex patula","Atriplex patula","Atriplex patula"
"Bellis perennis L.","Bellis perennis","Bellis perennis","Bellis perennis"
"Bidens tripartita","Bidens tripartita","Bidens tripartita","Bidens tripartita"
"Calla palustris L.","Calla palustris","Calla palustris","Calla palustris"
"Carduus  acanthoides L.","Carduus acanthoides","Carduus acanthoides","Carduus acanthoides"
"Carduus  crispus","Carduus crispus","Carduus crispus","Carduus crispus"
"Carlina vulgaris L.","Carlina vulgaris","Carlina vulgaris","Carlina vulgaris"
"Carum carvi L.","Carum carvi","Carum carvi","Carum carvi"
"Centaurea cyanus L.","Centaurea cyanus","Centaurea cyanus","Centaurea cyanus"
"Centaurea jacea L.","Centaurea jacea","Centaurea jacea","Centaurea jacea"
"Centaurea scabiosa L.","Centaurea scabiosa","Centaurea scabiosa","Centaurea scabiosa"
"Chaerophyllum temulum L.","Chaerophyllum temulum","Chaerophyllum temulum","Chaerophyllum temulum"
"Chenopodium bonus-henricus L.","Chenopodium bonus-henricus","Chenopodium bonus-henricus","Chenopodium bonus-henricus"
"Chenopodium polyspermun L.","Chenopodium polyspermum","Chenopodium polyspermum","Chenopodium polyspermum"
"Chenopodium urbicum L.","Chenopodium urbicum","Chenopodium urbicum","Chenopodium urbicum"
"Cicerbita alpina","Cicerbita alpina","Cicerbita alpina",NA
"Cichorium intybus L.","Cichorium intybus","Cichorium intybus","Cichorium intybus"
"Cicuta virosa L.","Cicuta virosa","Cicuta virosa","Cicuta virosa"
"Cirsium arvense","Cirsium arvense","Cirsium arvense","Cirsium arvense"
"Cirsium heterophyllum","Cirsium heterophyllum","Cirsium heterophyllum",NA
"Cirsium palustre","Cirsium palustre","Cirsium palustre","Cirsium palustre"
"Cirsium vulgare","Cirsium vulgare","Cirsium vulgare","Cirsium vulgare"
"Conium maculatum L.","Conium maculatum","Conium maculatum","Conium maculatum"
"Convallaria majalis L.","Convallaria majalis","Convallaria majalis","Convallaria majalis"
"Crepis paludosa ","Crepis paludosa","Crepis paludosa","Crepis paludosa"
"Crepis praemorsa","Crepis praemorsa","Crepis praemorsa",NA
"Crepis tectorum L.","Crepis tectorum","Crepis tectorum","Crepis tectorum"
"Daucus carota L.","Daucus carota","Daucus carota","Daucus carota"
"Erigeron acer L.","Erigeron acer","Erigeron acer",NA
"Eupatorium cannabinum","Eupatorium cannabinum","Eupatorium cannabinum","Eupatorium cannabinum"
"Gnaphalium sylvaticum L.","Gnaphalium sylvaticum","Gnaphalium sylvaticum",NA
"Gnaphalium uliginosum ","Gnaphalium uliginosum","Gnaphalium uliginosum","Gnaphalium uliginosum"
"Heracleum sphondylium L.","Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium"
"Hieracium canadense","Hieracium canadense","Hieracium canadense","Hieracium canadense"
"Hieracium dubium","Hieracium dubium","Hieracium dubium",NA
"Hieracium lactucella ","Hieracium lactucella","Hieracium lactucella","Hieracium lactucella"
"Hieracium murorum L.","Hieracium murorum","Hieracium murorum","Hieracium murorum"
"Hieracium pilosella L.","Hieracium pilosella","Hieracium pilosella","Hieracium pilosella"
"Hieracium radyrense","Hieracium radyrense","Hieracium radyrense",NA
"Hieracium tridentata","Hieracium tridentatum","Hieracium tridentatum","Hieracium tridentatum"
"Hieracium umbellatum L.","Hieracium umbellatum","Hieracium umbellatum","Hieracium umbellatum"
"Hypochaeris maculata L.","Hypochaeris maculata","Hypochaeris maculata",NA
"Inula salicina L.","Inula salicina","Inula salicina","Inula salicina"
