"species","matched_names","synonym_names","final_names"
"Achillea millefolium L.","Achillea millefolium","Achillea millefolium","Achillea millefolium"
"Achillea ptarmica","Achillea ptarmica","Achillea ptarmica","Achillea ptarmica"
"Aegopodium podagraria L.","Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria"
"Alisma  plantago-aquatica","Alisma plantago-aquatica","Alisma plantago-aquatica","Alisma plantago-aquatica"
"Alliaria petiolata","Alliaria petiolata","Alliaria petiolata","Alliaria petiolata"
"Allium oleraceum","Allium oleraceum","Allium oleraceum","Allium oleraceum"
"Angelica  sylvestris L. ","Angelica sylvestris","Angelica sylvestris","Angelica sylvestris"
"Antennaria dioica ","Antennaria dioica","Antennaria dioica","Antennaria dioica"
"Anthemis tinctoria L. ","Anthemis tinctoria","Anthemis tinctoria",NA
"Anthriscus sylvestris L.","Anthriscus sylvestris","Anthriscus sylvestris","Anthriscus sylvestris"
"Arabidopsis spp.","Arabidopsis","Arabidopsis",NA
"Arctium tomentosum ","Arctium tomentosum","Arctium tomentosum","Arctium tomentosum"
"Armoracia rusticana","Armoracia rusticana","Armoracia rusticana","Armoracia rusticana"
"Artemisia vulgaris L.","Artemisia vulgaris","Artemisia vulgaris","Artemisia vulgaris"
"Aster Sibiricus","Aster sibiricus","Aster sibiricus",NA
"Barbarea vulgaris","Barbarea vulgaris","Barbarea vulgaris","Barbarea vulgaris"
"Bellis perennis L.","Bellis perennis","Bellis perennis","Bellis perennis"
"Betula avellana L.","Betula","Betula",NA
"Betula pendula Roth","Betula pendula","Betula pendula","Betula pendula"
"Betula pubescens Ehrh.","Betula pubescens","Betula pubescens","Betula pubescens"
"Bunias orientalis L.","Bunias orientalis","Bunias orientalis","Bunias orientalis"
"Carduus acanthoides L.","Carduus acanthoides","Carduus acanthoides","Carduus acanthoides"
"Carlina vulgaris L. ","Carlina vulgaris","Carlina vulgaris","Carlina vulgaris"
"Carum carvi L.","Carum carvi","Carum carvi","Carum carvi"
"Centaurea cyanus","Centaurea cyanus","Centaurea cyanus","Centaurea cyanus"
"Centaurea jacea L.","Centaurea jacea","Centaurea jacea","Centaurea jacea"
"Centaurea scabiosa","Centaurea scabiosa","Centaurea scabiosa","Centaurea scabiosa"
"Cerastium fontanum Baumg. ","Cerastium fontanum","Cerastium fontanum","Cerastium fontanum"
"Cicerbita alpina","Cicerbita alpina","Cicerbita alpina",NA
"Cichorium intybus L.","Cichorium intybus","Cichorium intybus","Cichorium intybus"
"Cirsium arvense ","Cirsium arvense","Cirsium arvense","Cirsium arvense"
"Cirsium vulgare Ten.","Cirsium vulgare","Cirsium vulgare","Cirsium vulgare"
"Convallaria majalis L.","Convallaria majalis","Convallaria majalis","Convallaria majalis"
"Crepis praemorsa","Crepis praemorsa","Crepis praemorsa",NA
"Crepis tectorum","Crepis tectorum","Crepis tectorum","Crepis tectorum"
"Cyanus  segetum ","Cyanus segetum","Cyanus segetum",NA
"Daucus  carota sativus","Daucus carota sativus","Daucus carota sativus",NA
"Echium  vulgare L.","Echium vulgare","Echium vulgare","Echium vulgare"
"Erigeron acer L.","Erigeron acer","Erigeron acer",NA
"Eupatorium cannabinum","Eupatorium cannabinum","Eupatorium cannabinum","Eupatorium cannabinum"
"Heracleum sphondylium L.","Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium"
"Hieracium canadense","Hieracium canadense","Hieracium canadense","Hieracium canadense"
"Hieracium murorum L.","Hieracium murorum","Hieracium murorum","Hieracium murorum"
"Hieracium pilosella L.","Hieracium pilosella","Hieracium pilosella","Hieracium pilosella"
"Hieracium tridentata","Hieracium tridentatum","Hieracium tridentatum","Hieracium tridentatum"
"Hieracium umbellatum L. ","Hieracium umbellatum","Hieracium umbellatum","Hieracium umbellatum"
"Hieracium vulgata","Hieracium vulgare","Hieracium vulgare",NA
"Hypochaeris maculata ","Hypochaeris maculata","Hypochaeris maculata",NA
"Impatiens glandulifera Royle","Impatiens glandulifera","Impatiens glandulifera","Impatiens glandulifera"
"Impatiens parviflora","Impatiens parviflora","Impatiens parviflora","Impatiens parviflora"
"Inula salicina","Inula salicina","Inula salicina","Inula salicina"
"Lactuca muralis","Lactuca muralis","Lactuca muralis",NA
"Lactuca serriola","Lactuca serriola","Lactuca serriola","Lactuca serriola"
"Lapsana  comunnis","Lapsana communis","Lapsana communis","Lapsana communis"
"Leontodon autumnalis","Leontodon autumnalis","Leontodon autumnalis","Leontodon autumnalis"
"Leontodon hispidus","Leontodon hispidus","Leontodon hispidus","Leontodon hispidus"
"Leucanthemum vulgare Lam.","Leucanthemum vulgare","Leucanthemum vulgare","Leucanthemum vulgare"
"Maianthemum bifolium","Maianthemum bifolium","Maianthemum bifolium","Maianthemum bifolium"
"Matricaria discoides DC.","Matricaria discoidea","Matricaria discoidea","Matricaria discoidea"
"Matricaria matricarioides","Matricaria matricarioides","Matricaria matricarioides",NA
"Matricaria recutita L.","Matricaria recutita","Matricaria recutita",NA
"Muscari neglectum","Muscari neglectum","Muscari neglectum","Muscari neglectum"
"Mycelis muralis","Mycelis muralis","Mycelis muralis","Mycelis muralis"
"Myosotis arvensis","Myosotis arvensis","Myosotis arvensis","Myosotis arvensis"
